
Model,Jaccard,F1,Recall,Precision,Acc,F2,HD,MFPS,MSPF
attentionunet, 0.4214, 0.5618, 0.6339, 0.5879, 0.9912, 0.5904, 3.4743,498.90061091268956,6.681357489691841e-06
attentionunet, 0.4221, 0.5620, 0.6331, 0.5930, 0.9913, 0.5901, 3.4774,498.90061091268956,6.681357489691841e-06
aunet1, 0.4007, 0.5408, 0.5966, 0.6047, 0.9912, 0.5619, 3.5407,254.2196555615762,1.3112020492553712e-05
aunet1, 0.4012, 0.5409, 0.5957, 0.6119, 0.9912, 0.5614, 3.5543,254.2196555615762,1.3112020492553712e-05
aunet2, 0.4226, 0.5667, 0.6328, 0.5922, 0.9914, 0.5923, 3.4909,398.25454223195646,8.36985641055637e-06
aunet2, 0.4231, 0.5671, 0.6325, 0.5969, 0.9914, 0.5923, 3.4917,398.25454223195646,8.36985641055637e-06
aunet3, 0.3911, 0.5301, 0.5847, 0.5707, 0.9910, 0.5498, 3.5947,342.3942129721593,9.735367033216688e-06
aunet3, 0.3921, 0.5308, 0.5840, 0.5767, 0.9911, 0.5498, 3.6013,342.3942129721593,9.735367033216688e-06
aunet4, 0.3721, 0.5140, 0.5895, 0.5459, 0.9901, 0.5437, 3.6038,363.3203024504585,9.174640973409017e-06
aunet4, 0.3730, 0.5146, 0.5887, 0.5487, 0.9901, 0.5435, 3.6100,363.3203024504585,9.174640973409017e-06
